# 250905_13:05:47.063716
t	CH1	CH2
0.000000e+00	3.285461e-03	1.834389e+01
1.000000e-08	4.387065e-03	1.831175e+01
2.000000e-08	3.845527e-03	1.826065e+01
3.000000e-08	3.389203e-03	1.819589e+01
4.000000e-08	3.078900e-03	1.808173e+01
5.000000e-08	3.886764e-03	1.805812e+01
6.000000e-08	3.247896e-03	1.801492e+01
7.000000e-08	3.641010e-03	1.794168e+01
8.000000e-08	3.546627e-03	1.780647e+01
9.000000e-08	4.543646e-03	1.775376e+01
1.000000e-07	4.895239e-03	1.763945e+01
1.100000e-07	3.866958e-03	1.752426e+01
1.200000e-07	2.900962e-03	1.745100e+01
1.300000e-07	1.584315e-03	1.736384e+01
1.400000e-07	2.577806e-03	1.720702e+01
1.500000e-07	2.868585e-03	1.711113e+01
1.600000e-07	4.572872e-03	1.698587e+01
1.700000e-07	4.240367e-03	1.686058e+01
1.800000e-07	3.506103e-03	1.674531e+01
1.900000e-07	2.581503e-03	1.661689e+01
2.000000e-07	2.622644e-03	1.646956e+01
2.100000e-07	1.621587e-03	1.633223e+01
2.200000e-07	8.244046e-04	1.616584e+01
2.300000e-07	7.082305e-04	1.595604e+01
2.400000e-07	2.633040e-03	1.582958e+01
2.500000e-07	3.030520e-03	1.569208e+01
2.600000e-07	2.903648e-03	1.555221e+01
2.700000e-07	1.857321e-03	1.536321e+01
2.800000e-07	8.593964e-04	1.517429e+01
2.900000e-07	1.424634e-03	1.499644e+01
3.000000e-07	1.080986e-03	1.482737e+01
3.100000e-07	6.723355e-04	1.466845e+01
3.200000e-07	2.959957e-04	1.440797e+01
3.300000e-07	7.995367e-04	1.425942e+01
3.400000e-07	8.158893e-04	1.398632e+01
3.500000e-07	6.775505e-04	1.378527e+01
3.600000e-07	8.392339e-04	1.354374e+01
3.700000e-07	-4.016075e-04	1.336382e+01
3.800000e-07	-7.362244e-04	1.311416e+01
3.900000e-07	-3.233021e-04	1.289167e+01
4.000000e-07	-8.703147e-04	1.269056e+01
4.100000e-07	-7.863148e-04	1.246203e+01
4.200000e-07	-2.783278e-03	1.224795e+01
4.300000e-07	-1.712232e-03	1.202832e+01
4.400000e-07	-2.447719e-03	1.174532e+01
4.500000e-07	-5.230072e-04	1.149911e+01
4.600000e-07	-4.438593e-04	1.122940e+01
4.700000e-07	-2.179198e-03	1.099637e+01
4.800000e-07	-1.718108e-03	1.075526e+01
4.900000e-07	-1.998893e-03	1.050301e+01
5.000000e-07	-2.107736e-03	1.022840e+01
5.100000e-07	-2.620286e-03	9.995793e+00
5.200000e-07	-3.322259e-03	9.692060e+00
5.300000e-07	-3.368064e-03	9.428924e+00
5.400000e-07	-2.937868e-03	9.175349e+00
5.500000e-07	-2.855681e-03	8.891534e+00
5.600000e-07	-2.931164e-03	8.608403e+00
5.700000e-07	-3.367914e-03	8.375300e+00
5.800000e-07	-3.383133e-03	8.082636e+00
