# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_270478.94113968406
# 
Resultados:
# tau_s_=_(-8.38+/-1.88)e+00
# dphi_rad_=_6.27+/-0.00
# SAR_W/g_=_-42.18+/-9.46
# Hc_kA/m_=_0.69+/-0.16
# Mr_A/m_=_7.70+/-1.78
# Suceptibilidad_a_M=0_=_0.0112+/-0.0001
Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
270kHz_130dA_100Mss_bobN1Pm0007.txt		20.00	8.89	0.80	49608.90	556.38	2.704530e+05	1.800806e+01	6.266734e+00	-48.58	-9.681164	4437	1.119e-02
270kHz_130dA_100Mss_bobN1Pm0008.txt		20.00	8.68	0.78	49608.90	555.25	2.704530e+05	1.797157e+01	6.267111e+00	-47.37	-9.459194	4437	1.117e-02
270kHz_130dA_100Mss_bobN1Pm0009.txt		20.00	9.35	0.83	49608.90	557.17	2.704530e+05	1.803340e+01	6.265975e+00	-50.89	-10.127900	4437	1.120e-02
270kHz_130dA_100Mss_bobN1Pm0010.txt		20.00	8.98	0.81	49608.90	551.59	2.704530e+05	1.785311e+01	6.266463e+00	-48.96	-9.840722	4437	1.109e-02
270kHz_130dA_100Mss_bobN1Pm0011.txt		20.00	9.61	0.85	49608.90	562.06	2.704530e+05	1.819214e+01	6.265634e+00	-52.36	-10.328756	4437	1.130e-02
270kHz_130dA_100Mss_bobN1Pm0012.txt		20.00	6.52	0.58	49608.90	556.77	2.704530e+05	1.802054e+01	6.271029e+00	-35.92	-7.153472	4437	1.120e-02
270kHz_130dA_100Mss_bobN1Pm0013.txt		20.00	10.16	0.90	49608.90	560.61	2.704530e+05	1.814487e+01	6.264621e+00	-55.24	-10.925004	4437	1.127e-02
270kHz_130dA_100Mss_bobN1Pm0014.txt		20.00	6.88	0.62	49608.90	555.01	2.704530e+05	1.796368e+01	6.270350e+00	-37.81	-7.553015	4437	1.116e-02
270kHz_130dA_100Mss_bobN1Pm0015.txt		20.00	9.38	0.83	49608.90	559.14	2.704530e+05	1.809722e+01	6.265953e+00	-51.14	-10.140698	4437	1.125e-02
270kHz_130dA_100Mss_bobN1Pm0016.txt		20.00	8.56	0.76	49608.90	559.77	2.704530e+05	1.811788e+01	6.267446e+00	-46.76	-9.261907	4437	1.125e-02
270kHz_130dA_100Mss_bobN1Pm0017.txt		20.00	7.02	0.62	49608.90	559.07	2.704530e+05	1.809525e+01	6.270166e+00	-38.63	-7.661162	4437	1.124e-02
270kHz_130dA_100Mss_bobN1Pm0018.txt		20.00	6.84	0.61	49608.90	558.69	2.704530e+05	1.808295e+01	6.270504e+00	-37.60	-7.462085	4437	1.124e-02
270kHz_130dA_100Mss_bobN1Pm0019.txt		20.00	8.15	0.73	49608.90	557.50	2.704530e+05	1.804427e+01	6.268113e+00	-44.60	-8.869747	4437	1.121e-02
270kHz_130dA_100Mss_bobN1Pm0020.txt		20.00	5.93	0.53	49608.90	561.57	2.704530e+05	1.817596e+01	6.272189e+00	-32.78	-6.471119	4437	1.129e-02
270kHz_130dA_100Mss_bobN1Pm0021.txt		20.00	9.71	0.86	49608.90	564.32	2.705140e+05	1.826068e+01	6.265434e+00	-53.17	-10.446312	4436	1.135e-02
270kHz_130dA_100Mss_bobN1Pm0022.txt		20.00	9.41	0.84	49608.90	555.95	2.704530e+05	1.799396e+01	6.265831e+00	-51.21	-10.212483	4437	1.118e-02
270kHz_130dA_100Mss_bobN1Pm0023.txt		20.00	7.03	0.63	49608.90	557.68	2.704530e+05	1.805033e+01	6.270144e+00	-38.60	-7.674358	4437	1.121e-02
270kHz_130dA_100Mss_bobN1Pm0024.txt		20.00	5.78	0.52	49608.90	550.24	2.704530e+05	1.780919e+01	6.272235e+00	-31.98	-6.443932	4437	1.107e-02
270kHz_130dA_100Mss_bobN1Pm0025.txt		20.00	8.45	0.76	49608.90	550.72	2.704530e+05	1.782498e+01	6.267388e+00	-46.18	-9.296339	4437	1.108e-02
270kHz_130dA_100Mss_bobN1Pm0026.txt		20.00	5.74	0.51	49608.90	561.93	2.704530e+05	1.818772e+01	6.272516e+00	-31.82	-6.278495	4437	1.130e-02
270kHz_130dA_100Mss_bobN1Pm0027.txt		20.00	5.05	0.44	49608.90	567.24	2.704530e+05	1.835918e+01	6.273855e+00	-28.09	-5.490137	4437	1.140e-02
270kHz_130dA_100Mss_bobN1Pm0028.txt		20.00	3.18	0.28	49608.90	562.34	2.704530e+05	1.820042e+01	6.277087e+00	-18.20	-3.588222	4437	1.131e-02
