# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_270291.30343652115
# 
Resultados:
# tau_s_=_(4.39+/-7.31)e+00
# dphi_rad_=_6.29+/-0.01
# SAR_W/g_=_14.32+/-24.06
# Hc_kA/m_=_0.52+/-0.34
# Mr_A/m_=_5.29+/-3.47
# Suceptibilidad_a_M=0_=_0.0101+/-0.0001
Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
270kHz_110dA_100Mss_bobN1Pm0007.txt		20.00	1.85	0.18	42176.30	428.11	2.703312e+05	1.386265e+01	6.286954e+00	7.28	2.219077	4439	1.009e-02
270kHz_110dA_100Mss_bobN1Pm0008.txt		20.00	9.06	0.88	42176.30	438.47	2.703312e+05	1.419792e+01	6.261952e+00	-42.01	-12.502825	4439	1.034e-02
270kHz_110dA_100Mss_bobN1Pm0009.txt		20.00	8.09	0.80	42176.30	427.30	2.703312e+05	1.383631e+01	6.301590e+00	35.49	10.836539	4439	1.008e-02
270kHz_110dA_100Mss_bobN1Pm0010.txt		20.00	6.01	0.60	42176.30	426.09	2.703312e+05	1.379701e+01	6.296773e+00	26.13	8.000320	4439	1.005e-02
270kHz_110dA_100Mss_bobN1Pm0011.txt		20.00	0.56	0.06	42176.30	430.98	2.703312e+05	1.395542e+01	6.281341e+00	-3.59	-1.085757	4439	1.016e-02
270kHz_110dA_100Mss_bobN1Pm0012.txt		20.00	8.73	0.87	42176.30	426.02	2.703312e+05	1.379476e+01	6.303169e+00	38.42	11.767251	4439	1.005e-02
270kHz_110dA_100Mss_bobN1Pm0013.txt		20.00	6.63	0.65	42176.30	430.81	2.703312e+05	1.394989e+01	6.298056e+00	28.91	8.755736	4439	1.016e-02
270kHz_110dA_100Mss_bobN1Pm0014.txt		20.00	2.74	0.27	42176.30	427.22	2.703312e+05	1.383400e+01	6.289072e+00	11.35	3.465796	4439	1.007e-02
270kHz_110dA_100Mss_bobN1Pm0015.txt		20.00	11.58	1.15	42176.30	425.71	2.703312e+05	1.378488e+01	6.309843e+00	51.21	15.698448	4439	1.004e-02
270kHz_110dA_100Mss_bobN1Pm0016.txt		20.00	5.78	0.58	42176.30	423.31	2.703312e+05	1.370703e+01	6.296305e+00	25.06	7.724927	4439	9.978e-03
270kHz_110dA_100Mss_bobN1Pm0017.txt		20.00	1.12	0.11	42176.30	427.23	2.703312e+05	1.383398e+01	6.280002e+00	-6.14	-1.874163	4439	1.007e-02
270kHz_110dA_100Mss_bobN1Pm0018.txt		20.00	7.62	0.76	42176.30	427.20	2.703312e+05	1.383306e+01	6.300463e+00	33.31	10.173034	4439	1.007e-02
270kHz_110dA_100Mss_bobN1Pm0019.txt		20.00	8.52	0.85	42176.30	427.53	2.703312e+05	1.384362e+01	6.302581e+00	37.42	11.420633	4439	1.008e-02
270kHz_110dA_100Mss_bobN1Pm0020.txt		20.00	12.61	1.25	42176.30	427.79	2.703312e+05	1.385218e+01	6.312089e+00	55.79	17.021805	4439	1.009e-02
270kHz_110dA_100Mss_bobN1Pm0021.txt		20.00	2.31	0.23	42176.30	431.58	2.703312e+05	1.397490e+01	6.287998e+00	9.37	2.833801	4439	1.017e-02
270kHz_110dA_100Mss_bobN1Pm0022.txt		20.00	1.50	0.15	42176.30	427.02	2.703312e+05	1.382718e+01	6.279128e+00	-7.82	-2.389061	4439	1.007e-02
270kHz_110dA_100Mss_bobN1Pm0023.txt		20.00	1.76	0.17	42176.30	428.97	2.703312e+05	1.389022e+01	6.286710e+00	6.82	2.075512	4439	1.011e-02
270kHz_110dA_100Mss_bobN1Pm0024.txt		20.00	3.92	0.39	42176.30	428.91	2.703312e+05	1.388875e+01	6.291755e+00	16.59	5.045779	4439	1.011e-02
270kHz_110dA_100Mss_bobN1Pm0025.txt		20.00	7.08	0.69	42176.30	432.03	2.703312e+05	1.398922e+01	6.266246e+00	-33.02	-9.974392	4439	1.019e-02
270kHz_110dA_100Mss_bobN1Pm0026.txt		20.00	4.02	0.40	42176.30	425.70	2.703312e+05	1.378457e+01	6.292062e+00	17.05	5.226266	4439	1.003e-02
270kHz_110dA_100Mss_bobN1Pm0027.txt		20.00	1.40	0.14	42176.30	425.65	2.702703e+05	1.378627e+01	6.279352e+00	-7.36	-2.256685	4440	1.004e-02
270kHz_110dA_100Mss_bobN1Pm0028.txt		20.00	3.50	0.34	42176.30	430.85	2.703312e+05	1.395137e+01	6.290768e+00	14.74	4.464713	4439	1.016e-02
