# Temperatura_=_20.0
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_311139.1527040637
# Promedio de 22 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-9.493923e-09	-4.100600e-09	-4.568424e+01	-4.754441e+02
1.000000e-08	-9.488318e-09	-4.094865e-09	-4.565726e+01	-4.751779e+02
2.000000e-08	-9.479374e-09	-4.087489e-09	-4.561422e+01	-4.747296e+02
3.000000e-08	-9.466822e-09	-4.077635e-09	-4.555382e+01	-4.740995e+02
4.000000e-08	-9.450607e-09	-4.068881e-09	-4.547580e+01	-4.732877e+02
5.000000e-08	-9.431170e-09	-4.060947e-09	-4.538226e+01	-4.722947e+02
6.000000e-08	-9.408872e-09	-4.050387e-09	-4.527496e+01	-4.711207e+02
7.000000e-08	-9.383504e-09	-4.038535e-09	-4.515289e+01	-4.697663e+02
8.000000e-08	-9.354628e-09	-4.009833e-09	-4.501394e+01	-4.682319e+02
9.000000e-08	-9.321769e-09	-3.961578e-09	-4.485582e+01	-4.665181e+02
1.000000e-07	-9.284863e-09	-3.953068e-09	-4.467823e+01	-4.646256e+02
1.100000e-07	-9.244281e-09	-3.953996e-09	-4.448295e+01	-4.625552e+02
1.200000e-07	-9.200296e-09	-3.931446e-09	-4.427130e+01	-4.603075e+02
1.300000e-07	-9.153308e-09	-3.936368e-09	-4.404519e+01	-4.578835e+02
1.400000e-07	-9.103550e-09	-3.960402e-09	-4.380576e+01	-4.552840e+02
1.500000e-07	-9.050574e-09	-3.891275e-09	-4.355084e+01	-4.525102e+02
1.600000e-07	-8.993962e-09	-3.821192e-09	-4.327842e+01	-4.495630e+02
1.700000e-07	-8.934118e-09	-3.851496e-09	-4.299045e+01	-4.464435e+02
1.800000e-07	-8.871091e-09	-3.789982e-09	-4.268717e+01	-4.431530e+02
1.900000e-07	-8.804627e-09	-3.787453e-09	-4.236735e+01	-4.396927e+02
2.000000e-07	-8.735068e-09	-3.801014e-09	-4.203263e+01	-4.360640e+02
2.100000e-07	-8.662006e-09	-3.724375e-09	-4.168106e+01	-4.322682e+02
2.200000e-07	-8.585032e-09	-3.727541e-09	-4.131066e+01	-4.283068e+02
2.300000e-07	-8.504336e-09	-3.665883e-09	-4.092236e+01	-4.241812e+02
2.400000e-07	-8.420298e-09	-3.601282e-09	-4.051796e+01	-4.198932e+02
2.500000e-07	-8.333248e-09	-3.575556e-09	-4.009908e+01	-4.154442e+02
2.600000e-07	-8.242928e-09	-3.523985e-09	-3.966447e+01	-4.108361e+02
2.700000e-07	-8.149398e-09	-3.509957e-09	-3.921440e+01	-4.060705e+02
2.800000e-07	-8.052634e-09	-3.474921e-09	-3.874878e+01	-4.011493e+02
2.900000e-07	-7.952557e-09	-3.429944e-09	-3.826721e+01	-3.960744e+02
3.000000e-07	-7.849374e-09	-3.357021e-09	-3.777070e+01	-3.908477e+02
3.100000e-07	-7.743085e-09	-3.294082e-09	-3.725924e+01	-3.854712e+02
3.200000e-07	-7.633789e-09	-3.253389e-09	-3.673331e+01	-3.799470e+02
3.300000e-07	-7.521453e-09	-3.195402e-09	-3.619275e+01	-3.742772e+02
3.400000e-07	-7.406010e-09	-3.175487e-09	-3.563725e+01	-3.684639e+02
3.500000e-07	-7.287565e-09	-3.123213e-09	-3.506730e+01	-3.625094e+02
3.600000e-07	-7.166268e-09	-3.061014e-09	-3.448362e+01	-3.564159e+02
3.700000e-07	-7.042256e-09	-3.006083e-09	-3.388688e+01	-3.501858e+02
3.800000e-07	-6.915594e-09	-2.931982e-09	-3.327739e+01	-3.438215e+02
3.900000e-07	-6.786356e-09	-2.873246e-09	-3.265550e+01	-3.373253e+02
4.000000e-07	-6.654554e-09	-2.814777e-09	-3.202128e+01	-3.306999e+02
